stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,drugs_related_stop,year
2007-06-09,2023-09-14 09:49:00,F,88,White,Speeding,False,Citation,False,False,2007
2008-03-24,2023-09-14 09:45:00,M,88,White,Speeding,False,Citation,False,False,2008
2008-04-30,2023-09-14 10:25:00,M,88,White,Speeding,False,Citation,False,False,2008
2008-05-25,2023-09-14 20:30:00,M,88,Black,Speeding,False,Citation,False,False,2008
2008-11-28,2023-09-14 07:30:00,M,88,Asian,Speeding,False,Citation,False,False,2008
2009-04-10,2023-09-14 00:21:00,M,88,White,Speeding,False,Citation,False,False,2009
2009-06-05,2023-09-14 14:17:00,M,88,White,Speeding,False,Citation,False,False,2009
2010-09-18,2023-09-14 13:25:00,M,88,White,Speeding,False,Warning,False,False,2010
2010-10-11,2023-09-14 07:09:00,M,88,White,Speeding,False,Citation,False,False,2010
2011-09-17,2023-09-14 20:43:00,F,88,White,Speeding,False,Citation,False,False,2011
2012-01-25,2023-09-14 07:48:00,M,88,White,Speeding,False,Citation,False,False,2012
2012-03-19,2023-09-14 09:35:00,M,88,White,Speeding,False,Citation,False,False,2012
2012-03-31,2023-09-14 17:15:00,M,88,White,Speeding,False,Citation,False,False,2012
2012-08-17,2023-09-14 06:19:00,M,88,White,Speeding,False,Citation,False,False,2012
2013-01-13,2023-09-14 11:24:00,M,88,White,Speeding,False,Warning,False,False,2013
2013-01-19,2023-09-14 10:52:00,M,88,White,Speeding,False,Citation,False,False,2013
2013-06-19,2023-09-14 09:43:00,M,88,White,Speeding,False,Citation,False,False,2013
2014-07-25,2023-09-14 22:18:00,M,88,White,Speeding,False,Citation,False,False,2014
2015-04-15,2023-09-14 11:17:00,M,88,White,Speeding,False,Citation,False,False,2015
2015-09-16,2023-09-14 12:43:00,M,88,White,Speeding,False,Citation,False,False,2015
2005-10-23,2023-09-14 11:45:00,M,87,White,Speeding,False,Citation,False,False,2005
2005-11-05,2023-09-14 13:40:00,M,87,White,Speeding,False,Citation,False,False,2005
2005-11-09,2023-09-14 11:50:00,F,87,White,Speeding,False,Citation,False,False,2005
2006-01-12,2023-09-14 10:40:00,F,87,White,Speeding,False,Citation,False,False,2006
2006-01-29,2023-09-14 09:15:00,F,87,Black,Speeding,False,Warning,False,False,2006
2006-02-15,2023-09-14 01:35:00,F,87,White,Speeding,False,Citation,False,False,2006
2006-02-20,2023-09-14 15:47:00,M,87,Black,Speeding,False,Citation,False,False,2006
2006-06-08,2023-09-14 06:45:00,F,87,Black,Speeding,False,Citation,False,False,2006
2006-07-14,2023-09-14 09:41:00,M,87,White,Speeding,False,Citation,False,False,2006
2006-09-18,2023-09-14 10:21:00,M,87,White,Speeding,False,Citation,False,False,2006
2006-11-26,2023-09-14 11:45:00,F,87,White,Speeding,False,Citation,False,False,2006
2007-02-27,2023-09-14 11:25:00,M,87,Asian,Speeding,False,Citation,False,False,2007
2007-05-14,2023-09-14 23:12:00,M,87,White,Speeding,False,Citation,False,False,2007
2007-08-21,2023-09-14 03:09:00,M,87,White,Speeding,False,Citation,False,False,2007
2007-09-24,2023-09-14 23:55:00,M,87,White,Speeding,False,Citation,False,False,2007
2008-01-17,2023-09-14 20:55:00,M,87,White,Speeding,False,Citation,False,False,2008
2008-02-28,2023-09-14 09:15:00,M,87,Black,Speeding,False,Citation,False,False,2008
2008-04-17,2023-09-14 12:09:00,M,87,White,Speeding,False,Citation,False,False,2008
2009-05-30,2023-09-14 10:55:00,M,87,Black,Speeding,False,Citation,False,False,2009
2010-02-15,2023-09-14 15:52:00,F,87,White,Speeding,False,Citation,False,False,2010
2010-05-22,2023-09-14 15:14:00,F,87,Asian,Speeding,False,Citation,False,False,2010
2010-07-14,2023-09-14 12:46:00,M,87,White,Speeding,False,Citation,False,False,2010
2010-10-13,2023-09-14 00:52:00,M,87,White,Speeding,False,Citation,False,False,2010
2010-10-18,2023-09-14 03:15:00,M,87,White,Speeding,False,Citation,False,False,2010
2011-05-03,2023-09-14 13:58:00,F,87,Asian,Speeding,False,Citation,False,False,2011
2011-05-08,2023-09-14 10:35:00,M,87,White,Speeding,False,Warning,False,False,2011
2011-09-18,2023-09-14 07:21:00,M,87,White,Speeding,False,Citation,False,False,2011
2012-04-17,2023-09-14 22:38:00,M,87,White,Speeding,False,Citation,False,False,2012
2012-06-03,2023-09-14 17:18:00,M,87,White,Speeding,False,Citation,False,False,2012
2013-06-18,2023-09-14 11:05:00,M,87,White,Speeding,False,Citation,False,False,2013
2014-02-08,2023-09-14 09:39:00,M,87,Black,Speeding,False,Citation,False,False,2014
2015-01-05,2023-09-14 02:15:00,M,87,White,Speeding,False,Citation,False,False,2015
2015-07-21,2023-09-14 11:25:00,M,87,White,Speeding,False,Citation,False,False,2015
2015-08-29,2023-09-14 09:57:00,M,87,White,Speeding,False,Citation,False,False,2015
2015-09-15,2023-09-14 10:27:00,M,87,White,Speeding,False,Citation,False,False,2015
2005-12-03,2023-09-14 09:30:00,M,86,White,Speeding,False,Citation,False,False,2005
2006-01-26,2023-09-14 16:40:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-03-05,2023-09-14 08:00:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-04-09,2023-09-14 12:28:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-04-28,2023-09-14 22:40:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-05-26,2023-09-14 11:05:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-05-28,2023-09-14 23:50:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-06-18,2023-09-14 10:55:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-09-06,2023-09-14 23:30:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-12-09,2023-09-14 07:30:00,M,86,White,Speeding,False,Citation,False,False,2006
2006-12-27,2023-09-14 20:45:00,M,86,White,Speeding,False,Citation,False,False,2006
2007-01-07,2023-09-14 22:14:00,M,86,White,Speeding,False,Warning,False,False,2007
2007-02-13,2023-09-14 00:42:00,M,86,White,Speeding,False,Citation,False,False,2007
2007-04-02,2023-09-14 15:45:00,F,86,White,Speeding,False,Citation,False,False,2007
2007-04-25,2023-09-14 00:15:00,M,86,White,Speeding,False,Citation,False,False,2007
